region,keyword,interest_score
Uzbekistan,tesla,98
Vanuatu,tesla,100
Vatican City,tesla,0
Venezuela,tesla,99
Vietnam,tesla,93
Wallis & Futuna,tesla,0
Western Sahara,tesla,100
Yemen,tesla,100
Zambia,tesla,92
Zimbabwe,tesla,94
Åland Islands,tesla,90
Afghanistan,ev charging,0
Albania,ev charging,1
Algeria,ev charging,0
American Samoa,ev charging,0
Andorra,ev charging,0
Angola,ev charging,0
Anguilla,ev charging,0
Antarctica,ev charging,0
Antigua & Barbuda,ev charging,0
Argentina,ev charging,0
Armenia,ev charging,1
Aruba,ev charging,0
Australia,ev charging,4
Austria,ev charging,0
Azerbaijan,ev charging,1
Bahamas,ev charging,2
Bahrain,ev charging,2
Bangladesh,ev charging,1
Barbados,ev charging,3
Belarus,ev charging,1
Belgium,ev charging,1
Belize,ev charging,0
Benin,ev charging,0
Bermuda,ev charging,0
Bhutan,ev charging,9
Bolivia,ev charging,0
Bosnia & Herzegovina,ev charging,0
Botswana,ev charging,0
Bouvet Island,ev charging,0
Brazil,ev charging,0
British Indian Ocean Territory,ev charging,0
British Virgin Islands,ev charging,0
Brunei,ev charging,4
Bulgaria,ev charging,2
Burkina Faso,ev charging,0
Burundi,ev charging,0
Cambodia,ev charging,2
Cameroon,ev charging,0
Canada,ev charging,2
Cape Verde,ev charging,0
Caribbean Netherlands,ev charging,0
Cayman Islands,ev charging,0
Central African Republic,ev charging,0
Chad,ev charging,0
Chile,ev charging,0
China,ev charging,3
Christmas Island,ev charging,0
Cocos (Keeling) Islands,ev charging,0
Colombia,ev charging,0
Comoros,ev charging,0
Congo - Brazzaville,ev charging,0
Congo - Kinshasa,ev charging,0
Cook Islands,ev charging,0
Costa Rica,ev charging,1
Croatia,ev charging,1
Cuba,ev charging,0
Curaçao,ev charging,0
Cyprus,ev charging,2
Czechia,ev charging,0
Côte d’Ivoire,ev charging,0
Denmark,ev charging,0
Djibouti,ev charging,0
Dominica,ev charging,0
Dominican Republic,ev charging,0
Ecuador,ev charging,0
Egypt,ev charging,3
El Salvador,ev charging,0
Equatorial Guinea,ev charging,0
Eritrea,ev charging,0
Estonia,ev charging,1
Eswatini,ev charging,0
Ethiopia,ev charging,4
Falkland Islands (Islas Malvinas),ev charging,0
Faroe Islands,ev charging,0
Fiji,ev charging,0
Finland,ev charging,1
France,ev charging,0
French Guiana,ev charging,0
French Polynesia,ev charging,0
French Southern Territories,ev charging,0
